id	label
0	0
1	1
2	10
3	100
4	101
5	102
6	103
7	104
8	105
9	106
10	107
11	108
12	109
13	11
14	110
15	111
16	112
17	1128
18	1129
19	113
20	1130
21	1131
22	1132
23	1133
24	1134
25	1135
26	1136
27	1137
28	1138
29	1139
30	114
31	1140
32	1141
33	1142
34	1143
35	1144
36	1145
37	1146
38	1147
39	1148
40	1149
41	115
42	1150
43	1151
44	1152
45	1153
46	1154
47	1155
48	1156
49	1157
50	1158
51	1159
52	116
53	1160
54	1161
55	1162
56	1163
57	1164
58	1165
59	1166
60	1167
61	1168
62	1169
63	117
64	1170
65	1171
66	1172
67	1173
68	1174
69	1175
70	1176
71	1177
72	1178
73	1179
74	118
75	1180
76	1181
77	1182
78	1183
79	1184
80	1185
81	1186
82	1187
83	1188
84	1189
85	119
86	1190
87	1191
88	1192
89	1193
90	1194
91	1195
92	1196
93	1197
94	1198
95	1199
96	12
97	120
98	1200
99	1201
100	1202
101	1203
102	1204
103	1205
104	1206
105	1207
106	1208
107	1209
108	121
109	1210
110	1211
111	1212
112	1213
113	1214
114	1215
115	1216
116	1217
117	1218
118	1219
119	122
120	1220
121	1221
122	1222
123	1223
124	1224
125	1225
126	1226
127	1227
128	1228
129	1229
130	123
131	1230
132	1231
133	1232
134	1233
135	1234
136	1235
137	1236
138	1237
139	1238
140	1239
141	124
142	1240
143	1241
144	1242
145	1243
146	1244
147	1245
148	1246
149	1247
150	1248
151	1249
152	125
153	1250
154	1251
155	1252
156	1253
157	1254
158	1255
159	1256
160	1257
161	1258
162	1259
163	126
164	1260
165	1261
166	1262
167	1263
168	1264
169	1265
170	1266
171	1267
172	1268
173	1269
174	127
175	1270
176	1271
177	1272
178	1273
179	1274
180	1275
181	1276
182	1277
183	1278
184	1279
185	128
186	1280
187	1281
188	1282
189	1283
190	1284
191	1285
192	1286
193	1287
194	1288
195	1289
196	129
197	1290
198	1291
199	1292
200	1293
201	1294
202	1295
203	1296
204	1297
205	1298
206	1299
207	13
208	130
209	1300
210	1301
211	1302
212	1303
213	1304
214	1305
215	1306
216	1307
217	1308
218	1309
219	131
220	1310
221	1311
222	1312
223	1313
224	1314
225	1315
226	1316
227	1317
228	1318
229	1319
230	132
231	1320
232	1321
233	1322
234	1323
235	1324
236	1325
237	1326
238	1327
239	1328
240	1329
241	133
242	1330
243	1331
244	1332
245	1333
246	1334
247	1335
248	1336
249	1337
250	1338
251	1339
252	134
253	1340
254	1341
255	1342
256	1343
257	1344
258	1345
259	1346
260	1347
261	1348
262	1349
263	135
264	1350
265	1351
266	1352
267	1353
268	1354
269	1355
270	1356
271	1357
272	1358
273	1359
274	136
275	1360
276	1361
277	1362
278	1363
279	1364
280	1365
281	1366
282	1367
283	1368
284	1369
285	137
286	1370
287	1371
288	1372
289	1373
290	1374
291	1375
292	1376
293	1377
294	1378
295	1379
296	138
297	1380
298	1381
299	1382
300	1383
301	1384
302	1385
303	1386
304	1387
305	1388
306	1389
307	139
308	1390
309	1391
310	1392
311	1393
312	1394
313	1395
314	1396
315	1397
316	1398
317	1399
318	14
319	140
320	1400
321	1401
322	1402
323	1403
324	1404
325	1405
326	1406
327	1407
328	1408
329	1409
330	141
331	1410
332	1411
333	1412
334	1413
335	1414
336	1415
337	1416
338	1417
339	1418
340	1419
341	142
342	1420
343	1421
344	1422
345	1423
346	1424
347	1425
348	1426
349	1427
350	1428
351	1429
352	143
353	1430
354	1431
355	1432
356	1433
357	1434
358	1435
359	1436
360	1437
361	1438
362	1439
363	144
364	1440
365	1441
366	1442
367	1443
368	1444
369	1445
370	1446
371	1447
372	1448
373	1449
374	145
375	1450
376	1451
377	1452
378	1453
379	1454
380	1455
381	1456
382	1457
383	1458
384	1459
385	146
386	1460
387	1461
388	1462
389	1463
390	1464
391	1465
392	1466
393	1467
394	1468
395	1469
396	147
397	1470
398	1471
399	1472
400	1473
401	1474
402	1475
403	1476
404	1477
405	1478
406	1479
407	148
408	1480
409	1481
410	1482
411	1483
412	1484
413	1485
414	1486
415	1487
416	1488
417	1489
418	149
419	1490
420	1491
421	1492
422	1493
423	1494
424	1495
425	1496
426	1497
427	1498
428	1499
429	15
430	150
431	1500
432	1501
433	1502
434	1503
435	1504
436	1505
437	1506
438	1507
439	1508
440	1509
441	151
442	1510
443	1511
444	1512
445	1513
446	1514
447	1515
448	1516
449	1517
450	1518
451	1519
452	152
453	1520
454	1521
455	1522
456	1523
457	1524
458	1525
459	1526
460	1527
461	1528
462	1529
463	153
464	1530
465	1531
466	1532
467	1533
468	1534
469	1535
470	1536
471	1537
472	1538
473	1539
474	154
475	1540
476	1541
477	1542
478	1543
479	1544
480	1545
481	1546
482	1547
483	1548
484	1549
485	155
486	1550
487	1551
488	1552
489	1553
490	1554
491	1555
492	1556
493	1557
494	1558
495	1559
496	156
497	1560
498	1561
499	1562
500	1563
501	1564
502	1565
503	1566
504	1567
505	1568
506	1569
507	157
508	1570
509	1571
510	1572
511	1573
512	1574
513	1575
514	1576
515	1577
516	1578
517	1579
518	158
519	1580
520	1581
521	1582
522	1583
523	1584
524	1585
525	1586
526	1587
527	1588
528	1589
529	159
530	1590
531	1591
532	1592
533	1593
534	1594
535	1595
536	1596
537	1597
538	1598
539	1599
540	16
541	160
542	1600
543	1601
544	1602
545	1603
546	1604
547	1605
548	1606
549	1607
550	1608
551	1609
552	161
553	1610
554	1611
555	1612
556	1613
557	1614
558	1615
559	1616
560	1617
561	1618
562	1619
563	162
564	1620
565	1621
566	1622
567	1623
568	1624
569	1625
570	1626
571	1627
572	1628
573	1629
574	163
575	1630
576	1631
577	1632
578	1633
579	1634
580	1635
581	1636
582	1637
583	1638
584	1639
585	164
586	1640
587	1641
588	1642
589	1643
590	1644
591	1645
592	1646
593	1647
594	1648
595	1649
596	165
597	1650
598	1651
599	1652
600	1653
601	1654
602	1655
603	1656
604	1657
605	1658
606	1659
607	166
608	1660
609	1661
610	1662
611	1663
612	1664
613	1665
614	1666
615	1667
616	1668
617	1669
618	167
619	1670
620	1671
621	1672
622	1673
623	1674
624	1675
625	1676
626	1677
627	1678
628	1679
629	168
630	1680
631	1681
632	1682
633	1683
634	1684
635	1685
636	1686
637	1687
638	1688
639	1689
640	169
641	1690
642	1691
643	1692
644	1693
645	1694
646	1695
647	1696
648	1697
649	1698
650	1699
651	17
652	170
653	1700
654	1701
655	1702
656	1703
657	1704
658	1705
659	1706
660	1707
661	1708
662	1709
663	171
664	1710
665	1711
666	1712
667	1713
668	1714
669	1715
670	1716
671	1717
672	1718
673	1719
674	172
675	1720
676	1721
677	1722
678	1723
679	1724
680	1725
681	1726
682	1727
683	1728
684	1729
685	173
686	1730
687	1731
688	1732
689	1733
690	1734
691	1735
692	1736
693	1737
694	1738
695	1739
696	174
697	1740
698	1741
699	1742
700	1743
701	1744
702	1745
703	1746
704	1747
705	1748
706	1749
707	175
708	1750
709	1751
710	1752
711	1753
712	1754
713	1755
714	1756
715	1757
716	1758
717	1759
718	176
719	1760
720	1761
721	1762
722	1763
723	1764
724	1765
725	1766
726	1767
727	1768
728	1769
729	177
730	1770
731	1771
732	1772
733	1773
734	1774
735	1775
736	1776
737	1777
738	1778
739	1779
740	178
741	1780
742	1781
743	1782
744	1783
745	1784
746	1785
747	1786
748	1787
749	1788
750	1789
751	179
752	1790
753	1791
754	1792
755	1793
756	1794
757	1795
758	1796
759	1797
760	1798
761	1799
762	18
763	180
764	1800
765	1801
766	1802
767	1803
768	1804
769	1805
770	1806
771	1807
772	1808
773	1809
774	181
775	1810
776	1811
777	1812
778	1813
779	1814
780	1815
781	1816
782	1817
783	1818
784	1819
785	182
786	1820
787	1821
788	1822
789	1823
790	1824
791	1825
792	1826
793	1827
794	1828
795	1829
796	183
797	1830
798	1831
799	1832
800	1833
801	1834
802	1835
803	1836
804	1837
805	1838
806	1839
807	184
808	1840
809	1841
810	1842
811	1843
812	1844
813	1845
814	1846
815	1847
816	1848
817	1849
818	185
819	1850
820	1851
821	1852
822	1853
823	1854
824	1855
825	1856
826	1857
827	1858
828	1859
829	186
830	1860
831	1861
832	1862
833	1863
834	1864
835	1865
836	1866
837	1867
838	1868
839	1869
840	187
841	1870
842	1871
843	1872
844	1873
845	1874
846	1875
847	1876
848	1877
849	1878
850	1879
851	188
852	1880
853	1881
854	1882
855	1883
856	1884
857	1885
858	1886
859	1887
860	1888
861	1889
862	189
863	1890
864	1891
865	1892
866	1893
867	1894
868	1895
869	1896
870	1897
871	1898
872	1899
873	19
874	190
875	1900
876	1901
877	1902
878	1903
879	1904
880	1905
881	1906
